//변수명	명칭	1차컨트롤종류	2차컨트롤종류	3차컨트롤종류	발동 SFX 효과	피해음	설명
//dwID	szName	dwCtrlKind1	dwCtrlKind2	dwCtrlKind3	dwSfxCtrl	dwSndDamage	szComment
CI_CHEST01	IDS_PROPCTRL_TXT_000000	CK1_CHEST	CK2_FADE	CK3_FULL	=	=	IDS_PROPCTRL_TXT_000001
CI_CHEST02	IDS_PROPCTRL_TXT_000002	CK1_CHEST	CK2_FADE	CK3_FULL	=	=	IDS_PROPCTRL_TXT_000003
CI_LEVER01	IDS_PROPCTRL_TXT_000004	CK1_TRIGGER	CK2_KEEP	CK3_FULL	=	=	IDS_PROPCTRL_TXT_000005
CI_FLMARSEDOOR	IDS_PROPCTRL_TXT_000006	CK1_DOOR	CK2_KEEP	CK3_HALF	=	=	IDS_PROPCTRL_TXT_000007
CI_DUDKKIPRISON	IDS_PROPCTRL_TXT_000008	CK1_DOOR	CK2_KEEP	CK3_HALF	=	=	IDS_PROPCTRL_TXT_000009
CI_DUDKROPRISON1	IDS_PROPCTRL_TXT_000010	CK1_DOOR	CK2_KEEP	CK3_HALF	=	=	IDS_PROPCTRL_TXT_000011
CI_DUDKROPRISON2	IDS_PROPCTRL_TXT_000012	CK1_DOOR	CK2_KEEP	CK3_HALF	=	=	IDS_PROPCTRL_TXT_000013
CI_DUDKROEGG1	IDS_PROPCTRL_TXT_000014	CK1_CHEST	CK2_FADE	CK3_FULL	XI_CTR_EGGEFFECT2	=	IDS_PROPCTRL_TXT_000015
CI_DUDKROEGG2	IDS_PROPCTRL_TXT_000016	CK1_CHEST	CK2_FADE	CK3_FULL	XI_CTR_EGGEFFECT4	=	IDS_PROPCTRL_TXT_000017
CI_DUDKROEGG3	IDS_PROPCTRL_TXT_000018	CK1_CHEST	CK2_FADE	CK3_FULL	XI_CTR_EGGEFFECT1	=	IDS_PROPCTRL_TXT_000019
CI_DUDKROEGG4	IDS_PROPCTRL_TXT_000020	CK1_CHEST	CK2_FADE	CK3_FULL	XI_CTR_EGGEFFECT3	=	IDS_PROPCTRL_TXT_000021
CI_DUDKTREGG1	IDS_PROPCTRL_TXT_000022	CK1_CHEST	CK2_FADE	CK3_FULL	XI_CTR_EGGEFFECT5	=	IDS_PROPCTRL_TXT_000023
CI_DUDKTREGG2	IDS_PROPCTRL_TXT_000024	CK1_CHEST	CK2_FADE	CK3_FULL	XI_CTR_EGGEFFECT6	=	IDS_PROPCTRL_TXT_000025
CI_DUDKROEGG3	IDS_PROPCTRL_TXT_000026	CK1_CHEST	CK2_FADE	CK3_FULL	XI_CTR_EGGEFFECT7	=	IDS_PROPCTRL_TXT_000027
CI_DUDKWARP1	IDS_PROPCTRL_TXT_000028	CK1_TRIGGER	CK2_KEEP	CK3_FULL	=	=	IDS_PROPCTRL_TXT_000029
CI_DUDKWARP2	IDS_PROPCTRL_TXT_000030	CK1_TRIGGER	CK2_KEEP	CK3_FULL	=	=	IDS_PROPCTRL_TXT_000031
CI_DUDKWARP3	IDS_PROPCTRL_TXT_000032	CK1_TRIGGER	CK2_KEEP	CK3_FULL	=	=	IDS_PROPCTRL_TXT_000033
CI_DUDKWARP4	IDS_PROPCTRL_TXT_000034	CK1_TRIGGER	CK2_KEEP	CK3_FULL	=	=	IDS_PROPCTRL_TXT_000035
CI_EXPBOX	IDS_PROPCTRL_TXT_000036	CK1_TRIGGER	CK2_FADE	CK3_FULL	=	=	IDS_PROPCTRL_TXT_000037
CI_HOU_FUR_BED_BASIC01	IDS_PROPCTRL_TXT_000038	CK1_HOUSING	CK2_KEEP	CK3_FULL	=	=	IDS_PROPCTRL_TXT_000039
CI_HOU_FUR_CAB_BASIC01	IDS_PROPCTRL_TXT_000040	CK1_HOUSING	CK2_KEEP	CK3_FULL	=	=	IDS_PROPCTRL_TXT_000041
CI_HOU_FUR_CLO_BASIC01	IDS_PROPCTRL_TXT_000042	CK1_HOUSING	CK2_KEEP	CK3_FULL	=	=	IDS_PROPCTRL_TXT_000043
CI_HOU_FUR_SOF_BASIC01	IDS_PROPCTRL_TXT_000044	CK1_HOUSING	CK2_KEEP	CK3_FULL	=	=	IDS_PROPCTRL_TXT_000045
CI_HOU_FUR_TAB_BASIC01	IDS_PROPCTRL_TXT_000046	CK1_HOUSING	CK2_KEEP	CK3_FULL	=	=	IDS_PROPCTRL_TXT_000047
