//버전	//변수명	명칭	기본생성개수	최대곂침개수	1차아이템종류	2차아이템종류	3차아이템종류	아이템직업소속	소비불가	사용가능	사용성별	가격	내구력	마모도	경도	잡는형식	굽높이	장착위치	장착위치	파츠파일	제거될위치	기본부위무시	아이템레벨	희귀성	상점판매가능	로그남길것	상용화 판단	필요 아이템	필요 아이템종류	최소능력	최대능력	공격 속성	속성 공격력	회피율	블럭율	최소추가스킬	최대추가스킬	공격 스타일	무기종류	아이템1차공격순서	아이템2차공격순서	아이템3차공격순서	아이템4차공격순서	지속피해	최대장전개수	반동	장전시간	추가공격성공률	공격속도	타격시 반동	공격범위	적용확률	적용대상1	적용대상2	적용대상3	적용값1	적용값2	적용값3	적용변화값1	적용변화값2	적용변화값3	참조값 1	참조값 2	참조값 3	발동 마법	발동 레벨	마법 확률	필요MP	필요FP	학과필요레벨	선행스킬1	선행스킬레벨1	선행스킬2	선행스킬 레벨2	기술준비	기술 준비시간	기술 시전거리	원소이펙트	사용 효과(시전)	효과 2 (발사체)	"효과 3 (발동효과,타겟)"	효과 4 (유지효과)	"효과 5 (발동효과,시전자)"	사용 모션	유지시간	지속시간	발동대상	사용시기	마법범위	마법속성	참조스탯1	참조스탯2	참조타겟1	참조타겟2	참조수치1	참조수치2	기술속성	전기저항	불저항	바람저항	물저항	땅저항	악행	숙련레벨	최대숙련레벨	서브디파인위치	현재경험치	연속기술방식	비행속도	비행선회각(좌우)	비행선회각(상하)	비행제한레벨	비행연료충전량	가속연료충전량	팩당연료충전량	제한레벨1	반사광	공격음1(무기 타격음)	공격음2(무기 크리티컬)	아이콘파일	퀘스트 ID	텍스트 파일명	설명
//ver	//dwID	szName	dwNum	dwPackMax	dwItemKind1	dwItemKind2	dwItemKind3	dwItemJob	bPermanence	dwUseable	dwItemSex	dwCost	dwEndurance	nAbrasion	nHardness	dwHanded	dwHeelH	dwParts	dwPartsub	bPartFile	dwExclusive	dwBasePartsIgnore	dwItemLV	dwItemRare	dwShopAble	bLog	bCharged	dwLinkKindBullet 	dwLinkKind	dwAbilityMin	dwAbilityMax	eItemType	wItemEAtk	dwparry	dwblockRating	dwAddSkillMin	dwAddSkillMax	dwAtkStyle	dwWeaponType	dwItemAtkOrder1	dwItemAtkOrder2	dwItemAtkOrder3	dwItemAtkOrder4	tmContinuousPain	dwShellQuantity	dwRecoil	dwLoadingTime	nAdjHitRate	dwAttackSpeed	dwDmgShift	dwAttackRange	dwProbability	dwDestParam1	dwDestParam2	dwDestParam3	nAdjParamVal1	nAdjParamVal2	nAdjParamVal3	dwChgParamVal1	dwChgParamVal2	dwChgParamVal3	dwdestData1	dwdestData2	dwdestData3	dwactiveskill	dwactiveskillLv	dwactiveskillper	dwReqMp	dwRepFp	dwReqDisLV	dwReSkill1	dwReSkillLevel1	dwReSkill2	dwReSkillLevel2	dwSkillReadyType	dwSkillReady	dwSkillRange	dwSfxElemental	dwSfxObj	dwSfxObj2	dwSfxObj3	dwSfxObj4	dwSfxObj5	"dwUseMotion(01,02,03 번호 붙여 다음 동작연결)"	dwCircleTime	dwSkillTime	dwExeTarget	dwUseChance	dwSpellRegion	dwSpellType	dwReferStat1	dwReferStat2	dwReferTarget1	dwReferTarget2	dwReferValue1	dwReferValue2	dwSkillType	fItemResistElecricity	fItemResistFire	fItemResistWind	fItemResistWater	fItemResistEarth	nEvildoing	dwExpertLV	ExpertMax	dwSubDefine	dwExp	dwComboStyle	fFlightSpeed	fFlightLRAngle	fFlightTBAngle	dwFlightLimit	dwFFuelReMax	dwAFuelReMax	dwFuelRe	dwLimitLevel1	dwReflect	dwSndAttack1	dwSndAttack2	szIcon	dwQuestID	szTextFile	szComment
6	SI_VAG_ONE_CLEANHIT	IDS_PROPSKILL_TXT_000000	1	1	JTYPE_BASE	JOB_VAGRANT	DIS_VAGRANT	JOB_VAGRANT	=	=	=	=	=	=	=	HD_ONE	=	=	=	=	=	=	=	=	=	=	=	=	=	0	0	_NONE	0	0	0	=	=	AS_DIAGONAL	WT_EQUIP	=	=	=	=	=	=	=	=	=	=	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	3	=	=	=	=	=	=	=	=	=	=	XI_SKILL_VAG_ONE_CLEANHIT01	=	=	MTI_VAG_ONE_CLEANHIT	=	=	EXT_MELEEATK	WUI_TARGETINGOBJ	SRO_DIRECT	=	DST_STR	=	RT_ATTACK	=	5	=	KT_SKILL	0	0	0	0	0	=	1	10	5	1	CT_STEP	=	=	=	=	=	=	=	=	=	SND_PC_DMGSWD	=	"""skill_VagOneCleanh.dds"""	0	""""""	IDS_PROPSKILL_TXT_000001
6	SI_VAG_ONE_BRANDISH	IDS_PROPSKILL_TXT_000002	1	1	JTYPE_BASE	JOB_VAGRANT	DIS_VAGRANT	JOB_VAGRANT	=	=	=	=	=	=	=	HD_ONE	=	=	=	=	=	=	=	=	=	=	=	=	=	0	0	_NONE	0	0	0	=	=	AS_DIAGONAL	WT_EQUIP	=	=	=	=	=	=	=	=	=	=	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	5	SI_VAG_ONE_CLEANHIT	3	=	=	=	=	=	=	=	=	XI_SKILL_VAG_ONE_BRANDISH01	=	=	MTI_VAG_ONE_BRANDISH	=	=	EXT_MELEEATK	WUI_TARGETINGOBJ	SRO_DIRECT	=	DST_STR	=	RT_ATTACK	=	8	=	KT_SKILL	0	0	0	0	0	=	1	10	15	1	CT_CIRCLE	=	=	=	=	=	=	=	=	=	SND_PC_DMGSWD	=	"""skill_VagOneBrandi.dds"""	0	""""""	IDS_PROPSKILL_TXT_000003
6	SI_VAG_ONE_OVERCUTTER	IDS_PROPSKILL_TXT_000004	1	1	JTYPE_BASE	JOB_VAGRANT	DIS_VAGRANT	JOB_VAGRANT	=	=	=	=	=	=	=	HD_ONE	=	=	=	=	=	=	=	=	=	=	=	=	=	0	0	_NONE	0	0	0	=	=	AS_VERTICAL	WT_EQUIP	=	=	=	=	=	=	=	=	=	=	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	10	SI_VAG_ONE_BRANDISH	3	=	=	=	=	=	=	=	=	XI_SKILL_VAG_ONE_OVERCUTTER01	=	=	MTI_VAG_ONE_OVERCUTTER	=	=	EXT_MELEEATK	WUI_TARGETINGOBJ	SRO_DIRECT	=	DST_STR	=	RT_ATTACK	=	10	=	KT_SKILL	0	0	0	0	0	=	1	10	25	1	CT_FINISH	=	=	=	=	=	=	=	=	=	SND_PC_DMGSWD	=	"""skill_VagOneOvercu.dds"""	0	""""""	IDS_PROPSKILL_TXT_000005
//																																																																																																																											
6	SI_MER_ONE_SPLMASH	IDS_PROPSKILL_TXT_000006	1	1	JTYPE_EXPERT	JOB_MERCENARY	DIS_SWORD	JOB_MERCENARY	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	0	_NONE	0	0	0	=	=	AS_DIAGONAL	WT_EQUIP	=	=	=	=	=	=	=	=	=	=	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	15	=	=	=	=	=	=	=	=	XI_SKILL_MER_ONE_SPLMASH01	=	XI_HIT_SWORD01	=	=	MTI_MER_ONE_SPLMASH	=	=	EXT_MELEEATK	WUI_TARGETINGOBJ	SRO_DIRECT	=	DST_STR	=	RT_ATTACK	=	15	=	KT_SKILL	0	0	0	0	0	=	1	20	35	1	CT_STEP	=	=	=	=	=	=	=	=	=	SND_PC_DMGSWD	=	"""skill_MerOneSplmas.dds"""	0	""""""	IDS_PROPSKILL_TXT_000007
6	SI_MER_ONE_KEENWHEEL	IDS_PROPSKILL_TXT_000008	1	1	JTYPE_EXPERT	JOB_MERCENARY	DIS_SWORD	JOB_MERCENARY	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	0	_NONE	0	0	0	=	=	AS_DIAGONAL	WT_EQUIP	=	=	=	=	=	=	=	=	=	=	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	18	SI_MER_ONE_SPLMASH	4	=	=	=	=	=	=	XI_SKILL_MER_ONE_KEENWHEEL01	=	XI_HIT_SWORD01	=	=	MTI_MER_ONE_KEENWHEEL	=	=	EXT_MELEEATK	WUI_TARGETINGOBJ	SRO_DIRECT	=	DST_STR	=	RT_ATTACK	=	15	=	KT_SKILL	0	0	0	0	0	=	1	20	55	1	CT_CIRCLE	=	=	=	=	=	=	=	=	=	SND_PC_DMGSWD	=	"""skill_MerOneKeenwh.dds"""	0	""""""	IDS_PROPSKILL_TXT_000009
6	SI_MER_ONE_BLINDSIDE	IDS_PROPSKILL_TXT_000010	1	1	JTYPE_EXPERT	JOB_MERCENARY	DIS_SWORD	JOB_MERCENARY	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	0	_NONE	0	0	0	=	=	AS_VERTICAL	WT_EQUIP	=	=	=	=	=	=	=	=	=	=	=	AR_SHORT	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	24	SI_MER_ONE_KEENWHEEL	6	=	=	=	=	=	=	XI_SKILL_MER_ONE_BLINDSIDE01	=	XI_HIT_SWORD01	=	=	MTI_MER_ONE_BLINDSIDE	=	=	EXT_MELEEATK	WUI_TARGETINGOBJ	SRO_DIRECT	=	DST_STR	=	RT_ATTACK	=	20	=	KT_SKILL	0	0	0	0	0	=	1	20	75	1	CT_FINISH	=	=	=	=	=	=	=	=	=	SND_PC_DMGSWD	=	"""skill_MerOneBlinds.dds"""	0	""""""	IDS_PROPSKILL_TXT_000011
6	SI_MER_SHIELD_PROTECTION	IDS_PROPSKILL_TXT_000012	1	1	JTYPE_EXPERT	JOB_MERCENARY	DIS_SHIELD	JOB_MERCENARY	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	IK3_SHIELD	=	=	_NONE	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	=	=	0	=	=	=	=	=	=	=	=	=	=	=	=	0	15	=	=	=	=	SR_AFTER	0	=	=	XI_SKILL_MER_SHIELD_PROTECTION01	=	=	XI_SKILL_MER_SHIELD_PROTECTION02	=	MTI_MER_SHIELD_PROTECTION	=	0	EXT_SELFCHGPARAMET	WUI_NOW	=	=	DST_STA	=	RT_TIME	=	20000	=	KT_SKILL	0	0	0	0	0	1	1	20	135	1	CT_GENERAL	=	=	=	=	=	=	=	=	=	=	=	"""skill_MerShieProtec.dds"""	0	""""""	IDS_PROPSKILL_TXT_000013
6	SI_MER_SHIELD_PANBARRIER	IDS_PROPSKILL_TXT_000014	1	1	JTYPE_EXPERT	JOB_MERCENARY	DIS_SHIELD	JOB_MERCENARY	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	IK3_SHIELD	=	=	_NONE	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	0	=	=	0	=	=	0	=	=	=	=	=	=	=	=	=	0	18	SI_MER_SHIELD_PROTECTION	3	=	=	SR_AFTER	0	=	=	XI_SKILL_MER_SHIELD_PANBARRIER01	=	=	XI_SKILL_MER_SHIELD_PANBARRIER02	=	MTI_MER_SHIELD_PANBARRIER	=	0	EXT_SELFCHGPARAMET	WUI_NOW	=	=	DST_STR	=	RT_TIME	=	20000	=	KT_SKILL	0	0	0	0	0	1	1	20	155	1	CT_GENERAL	=	=	=	=	=	=	=	=	=	=	=	"""skill_MerShiePanbar.dds"""	0	""""""	IDS_PROPSKILL_TXT_000015
6	SI_MER_SUP_BLAZINGSWORD	IDS_PROPSKILL_TXT_000016	1	1	JTYPE_EXPERT	JOB_MERCENARY	DIS_SUPPORT	JOB_MERCENARY	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	IK3_SWD	=	=	_NONE	0	0	0	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	=	25	SI_MER_SUP_IMPOWERWEAPON	4	=	=	SR_BEFORE	0	0	=	XI_SKILL_MER_SUP_BLAZINGSWORD01	=	XI_SKILL_MER_SUP_BLAZINGSWORD02	=	=	MTI_MER_SHIELD_PANBARRIER	=	0	EXT_SELFCHGPARAMET	WUI_NOW	=	=	=	=	=	=	=	=	KT_SKILL	0	0	0	0	0	1	1	20	2115	1	CT_GENERAL	=	=	=	=	=	=	=	=	=	=	=	"""skill_MerSupBlazin.dds"""	0	""""""	IDS_PROPSKILL_TXT_000017
